127.0.0.1 - - [02/Jul/2018:20:38:25 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:38:28 +0900] "GET /HelloJSP/ HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:41:36 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 500 2784
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:42:02 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 500 4399
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:44:12 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 500 4089
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:46:56 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:53:02 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:53:30 +0900] "GET /HelloJSP/ HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:53:51 +0900] "GET /HelloJSP/greeting-out.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [02/Jul/2018:20:54:11 +0900] "GET /HelloJSP/greeting-out.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:03:36 +0900] "GET /HelloJSP/ HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:03:41 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:03:52 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:06:27 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2866
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:08:06 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2863
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:08:35 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2862
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:09:24 +0900] "GET /HelloJSP/ HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:09:32 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:09:46 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3308
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:10:27 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3304
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:12:22 +0900] "GET /HelloJSP/ HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [02/Jul/2018:21:12:32 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 225
